"lang"
{
"Language" "ukrainian"
"Tokens"
{
// ---------------------------------------------------------------------------------------------
// GAMEUI_ENGLISH.txt

		"GameUI_MainMenuMovieScene"	"Тло головного меню"
	"StickerKit_stockh2021_signature_ax1le_gold" "Ax1Le (золота) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_ax1le_gold" "Ця золота наліпка підписана професійним гравцем Sergei Rykhtorov із команди «Gambit Esports» — півфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."

	"StickerKit_stockh2021_signature_interz" "interz | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_interz" "Ця наліпка підписана професійним гравцем Yakushin Timofey із команди «Gambit Esports» — півфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_interz_holo" "interz (гологр.) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_interz_holo" "Ця голографічна наліпка підписана професійним гравцем Yakushin Timofey із команди «Gambit Esports» — півфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_interz_gold" "interz (золота) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_interz_gold" "Ця золота наліпка підписана професійним гравцем Yakushin Timofei із команди «Gambit Esports» — півфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."

	"StickerKit_stockh2021_signature_sh1ro" "sh1ro | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_sh1ro" "Ця наліпка підписана професійним гравцем Dmitrii Sokolov із команди «Gambit Esports» — півфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_sh1ro_holo" "sh1ro (гологр.) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_sh1ro_holo" "Ця голографічна наліпка підписана професійним гравцем Dmitrii Sokolov із команди «Gambit Esports» — півфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_sh1ro_gold" "sh1ro (золота) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_sh1ro_gold" "Ця золота наліпка підписана професійним гравцем Dmitrii Sokolov із команди «Gambit Esports» — півфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."

	"StickerKit_stockh2021_signature_hobbit" "HObbit | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_hobbit" "Ця наліпка підписана професійним гравцем Abay Khassenov із команди «Gambit Esports» — півфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_hobbit_holo" "HObbit (гологр.) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_hobbit_holo" "Ця голографічна наліпка підписана професійним гравцем Abay Khassenov із команди «Gambit Esports» — півфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_hobbit_gold" "HObbit (золота) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_hobbit_gold" "Ця золота наліпка підписана професійним гравцем Abay Khassenov із команди «Gambit Esports» — півфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."

	"StickerKit_stockh2021_signature_drop" "drop | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_drop" "Ця наліпка підписана професійним гравцем André Wagner de Abreu з команди «FURIA» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_drop_holo" "drop (гологр.) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_drop_holo" "Ця голографічна наліпка підписана професійним гравцем André Wagner de Abreu з команди «FURIA» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_drop_gold" "drop (золота) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_drop_gold" "Ця золота наліпка підписана професійним гравцем André Wagner de Abreu з команди «FURIA» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."

	"StickerKit_stockh2021_signature_kscerato" "KSCERATO | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_kscerato" "Ця наліпка підписана професійним гравцем Kaike Cerato з команди «FURIA» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_kscerato_holo" "KSCERATO (гологр.) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_kscerato_holo" "Ця голографічна наліпка підписана професійним гравцем Kaike Cerato з команди «FURIA» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_kscerato_gold" "KSCERATO (золота) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_kscerato_gold" "Ця золота наліпка підписана професійним гравцем Kaike Cerato з команди «FURIA» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."

	"StickerKit_stockh2021_signature_vini" "VINI | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_vini" "Ця наліпка підписана професійним гравцем Vinicius Figueiredo з команди «FURIA» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_vini_holo" "VINI (гологр.) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_vini_holo" "Ця голографічна наліпка підписана професійним гравцем Vinicius Figueiredo з команди «FURIA» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_vini_gold" "VINI (золота) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_vini_gold" "Ця золота наліпка підписана професійним гравцем Vinicius Figueiredo з команди «FURIA» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."

	"StickerKit_stockh2021_signature_art" "arT | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_art" "Ця наліпка підписана професійним гравцем Andrei Piovezan із команди «FURIA» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_art_holo" "arT (гологр.) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_art_holo" "Ця голографічна наліпка підписана професійним гравцем Andrei Piovezan із команди «FURIA» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_art_gold" "arT (золота) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_art_gold" "Ця золота наліпка підписана професійним гравцем Andrei Piovezan із команди «FURIA» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."

	"StickerKit_stockh2021_signature_yuurih" "yuurih | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_yuurih" "Ця наліпка підписана професійним гравцем Yuri Boian із команди «FURIA» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_yuurih_holo" "yuurih (гологр.) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_yuurih_holo" "Ця голографічна наліпка підписана професійним гравцем Yuri Boian із команди «FURIA» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_yuurih_gold" "yuurih (золота) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_yuurih_gold" "Ця золота наліпка підписана професійним гравцем Yuri Boian із команди «FURIA» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."

	"StickerKit_stockh2021_signature_qikert" "Qikert | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_qikert" "Ця наліпка підписана професійним гравцем Alexey Golubev із команди «Virtus.Pro» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_qikert_holo" "Qikert (гологр.) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_qikert_holo" "Ця голографічна наліпка підписана професійним гравцем Alexey Golubev із команди «Virtus.Pro» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_qikert_gold" "Qikert (золота) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_qikert_gold" "Ця золота наліпка підписана професійним гравцем Alexey Golubev із команди «Virtus.Pro» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."

	"StickerKit_stockh2021_signature_buster" "buster | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_buster" "Ця наліпка підписана професійним гравцем Timur Tulepov із команди «Virtus.Pro» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_buster_holo" "buster (гологр.) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_buster_holo" "Ця голографічна наліпка підписана професійним гравцем Timur Tulepov із команди «Virtus.Pro» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_buster_gold" "buster (золота) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_buster_gold" "Ця золота наліпка підписана професійним гравцем Timur Tulepov із команди «Virtus.Pro» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."

	"StickerKit_stockh2021_signature_yekindar" "YEKINDAR | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_yekindar" "Ця наліпка підписана професійним гравцем Mareks Galinskis із команди «Virtus.Pro» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_yekindar_holo" "YEKINDAR (гологр.) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_yekindar_holo" "Ця голографічна наліпка підписана професійним гравцем Mareks Galinskis із команди «Virtus.Pro» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_yekindar_gold" "YEKINDAR (золота) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_yekindar_gold" "Ця золота наліпка підписана професійним гравцем Mareks Galinskis із команди «Virtus.Pro» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."

	"StickerKit_stockh2021_signature_jame" "Jame | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_jame" "Ця наліпка підписана професійним гравцем Ali Dzhami із команди «Virtus.Pro» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_jame_holo" "Jame (гологр.) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_jame_holo" "Ця голографічна наліпка підписана професійним гравцем Ali Dzhami із команди «Virtus.Pro» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_jame_gold" "Jame (золота) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_jame_gold" "Ця золота наліпка підписана професійним гравцем Ali Dzhami із команди «Virtus.Pro» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."

	"StickerKit_stockh2021_signature_fl1t" "FL1T | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_fl1t" "Ця наліпка підписана професійним гравцем Evgenii Lebedev із команди «Virtus.Pro» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_fl1t_holo" "FL1T (гологр.) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_fl1t_holo" "Ця голографічна наліпка підписана професійним гравцем Evgenii Lebedev із команди «Virtus.Pro» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_fl1t_gold" "FL1T (золота) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_fl1t_gold" "Ця золота наліпка підписана професійним гравцем Evgenii Lebedev із команди «Virtus.Pro» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."

	"StickerKit_stockh2021_signature_hampus" "hampus | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_hampus" "Ця наліпка підписана професійним гравцем Hampus Poser із команди «Ninjas in Pyjamas» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_hampus_holo" "hampus (гологр.) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_hampus_holo" "Ця голографічна наліпка підписана професійним гравцем Hampus Poser із команди «Ninjas in Pyjamas» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_hampus_gold" "hampus (золота) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_hampus_gold" "Ця золота наліпка підписана професійним гравцем Hampus Poser із команди «Ninjas in Pyjamas» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."

	"StickerKit_stockh2021_signature_lnz" "LNZ | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_lnz" "Ця наліпка підписана професійним гравцем Linus Holtäng із команди «Ninjas in Pyjamas» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_lnz_holo" "LNZ (гологр.) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_lnz_holo" "Ця голографічна наліпка підписана професійним гравцем Linus Holtäng із команди «Ninjas in Pyjamas» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_lnz_gold" "LNZ (золота) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_lnz_gold" "Ця золота наліпка підписана професійним гравцем Linus Holtäng із команди «Ninjas in Pyjamas» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."

	"StickerKit_stockh2021_signature_rez" "REZ | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_rez" "Ця наліпка підписана професійним гравцем Fredrik Sterner із команди «Ninjas in Pyjamas» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_rez_holo" "REZ (гологр.) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_rez_holo" "Ця голографічна наліпка підписана професійним гравцем Fredrik Sterner із команди «Ninjas in Pyjamas» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_rez_gold" "REZ (золота) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_rez_gold" "Ця золота наліпка підписана професійним гравцем Fredrik Sterner із команди «Ninjas in Pyjamas» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."

	"StickerKit_stockh2021_signature_plopski" "Plopski | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_plopski" "Ця наліпка підписана професійним гравцем Nicolas Gonzalez Zamora із команди «Ninjas in Pyjamas» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_plopski_holo" "Plopski (гологр.) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_plopski_holo" "Ця голографічна наліпка підписана професійним гравцем Nicolas Gonzalez Zamora із команди «Ninjas in Pyjamas» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_plopski_gold" "Plopski (золота) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_plopski_gold" "Ця золота наліпка підписана професійним гравцем Nicolas Gonzalez Zamora із команди «Ninjas in Pyjamas» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."

	"StickerKit_stockh2021_signature_device" "device | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_device" "Ця наліпка підписана професійним гравцем Nicolai Reedtz із команди «Ninjas in Pyjamas» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_device_holo" "device (гологр.) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_device_holo" "Ця голографічна наліпка підписана професійним гравцем Nicolai Reedtz із команди «Ninjas in Pyjamas» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_device_gold" "device (золота) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_device_gold" "Ця золота наліпка підписана професійним гравцем Nicolai Reedtz із команди «Ninjas in Pyjamas» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."

	"StickerKit_stockh2021_signature_zywoo" "ZywOo | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_zywoo" "Ця наліпка підписана професійним гравцем Mathieu Herbaut із команди «Vitality» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_zywoo_holo" "ZywOo (гологр.) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_zywoo_holo" "Ця голографічна наліпка підписана професійним гравцем Mathieu Herbaut із команди «Vitality» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_zywoo_gold" "ZywOo (золота) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_zywoo_gold" "Ця золота наліпка підписана професійним гравцем Mathieu Herbaut із команди «Vitality» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."

	"StickerKit_stockh2021_signature_misutaaa" "misutaaa | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_misutaaa" "Ця наліпка підписана професійним гравцем Kévin Rabier із команди «Vitality» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_misutaaa_holo" "misutaaa (гологр.) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_misutaaa_holo" "Ця голографічна наліпка підписана професійним гравцем Kévin Rabier із команди «Vitality» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_misutaaa_gold" "misutaaa (золота) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_misutaaa_gold" "Ця золота наліпка підписана професійним гравцем Kévin Rabier із команди «Vitality» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."

	"StickerKit_stockh2021_signature_kyojin" "Kyojin | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_kyojin" "Ця наліпка підписана професійним гравцем Jayson Nguyen Van із команди «Vitality» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_kyojin_holo" "Kyojin (гологр.) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_kyojin_holo" "Ця голографічна наліпка підписана професійним гравцем Jayson Nguyen Van із команди «Vitality» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_kyojin_gold" "Kyojin (золота) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_kyojin_gold" "Ця золота наліпка підписана професійним гравцем Nguyen Van Jayson із команди «Vitality» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."

	"StickerKit_stockh2021_signature_shox" "shox | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_shox" "Ця наліпка підписана професійним гравцем Richard Papillon із команди «Vitality» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_shox_holo" "shox (гологр.) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_shox_holo" "Ця голографічна наліпка підписана професійним гравцем Richard Papillon із команди «Vitality» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_shox_gold" "shox (золота) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_shox_gold" "Ця золота наліпка підписана професійним гравцем Richard Papillon з команди «Vitality» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."

	"StickerKit_stockh2021_signature_apex" "apEX | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_apex" "Ця наліпка підписана професійним гравцем Dan Madesclaire з команди «Vitality» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_apex_holo" "apEX (гологр.) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_apex_holo" "Ця голографічна наліпка підписана професійним гравцем Dan Madesclaire з команди «Vitality» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."
	"StickerKit_stockh2021_signature_apex_gold" "apEX (золота) | Стокгольм 2021"
	"StickerKit_desc_stockh2021_signature_apex_gold" "Ця золота наліпка підписана професійним гравцем Dan Madesclaire з команди «Vitality» — чвертьфіналістів головного турніру з CS:GO «PGL Стокгольм 2021»."


	"CSGO_crate_stockh2021_promo_de_inferno"		"Сувенірний набір «Стокгольм 2021» — «Inferno»"
	"CSGO_crate_stockh2021_promo_de_mirage"		"Сувенірний набір «Стокгольм 2021» — «Mirage»"
	"CSGO_crate_stockh2021_promo_de_dust2"		"Сувенірний набір «Стокгольм 2021» — «Dust II»"
	"CSGO_crate_stockh2021_promo_de_overpass"		"Сувенірний набір «Стокгольм 2021» — «Overpass»"
	"CSGO_crate_stockh2021_promo_de_ancient"		"Сувенірний набір «Стокгольм 2021» — «Ancient»"
	"CSGO_crate_stockh2021_promo_de_nuke"		"Сувенірний набір «Стокгольм 2021» — «Nuke»"
	"CSGO_crate_stockh2021_promo_de_vertigo"		"Сувенірний набір «Стокгольм 2021» — «Vertigo»"

	"CSGO_CollectibleCoin_stockh2021_Champion"				"Чемпіон «PGL Стокгольм 2021»"
	"CSGO_CollectibleCoin_stockh2021_Champion_Desc"			"Цю нагороду вручено переможцю головного турніру з CS:GO на «PGL Стокгольм 2021»."
	"CSGO_CollectibleCoin_stockh2021_Finalist"				"Фіналіст «PGL Стокгольм 2021»"
	"CSGO_CollectibleCoin_stockh2021_Finalist_Desc"			"Цю нагороду вручено фіналісту головного турніру з CS:GO на «PGL Стокгольм 2021»."
	"CSGO_CollectibleCoin_stockh2021_Semifinalist"				"Півфіналіст «PGL Стокгольм 2021»"
	"CSGO_CollectibleCoin_stockh2021_Semifinalist_Desc"			"Цю нагороду вручено півфіналісту головного турніру з CS:GO на «PGL Стокгольм 2021»."
	"CSGO_CollectibleCoin_stockh2021_Quarterfinalist"				"Чвертьфіналіст «PGL Стокгольм 2021»"
	"CSGO_CollectibleCoin_stockh2021_Quarterfinalist_Desc"			"Цю нагороду вручено чвертьфіналісту головного турніру з CS:GO на «PGL Стокгольм 2021»."

		//
		// 2021 PGL Stockholm CS:GO Major Championship Strings Block End
		// ======================================

		//
		// 2022 PGL Antwerp CS:GO Major Championship Strings Block Begin
		// ======================================

//
// Strings for all team stickers and capsules for Antwerp 2022 (auto-generated section)
//
	"CSGO_TournamentPass_antwerp2022_store_title" "ПРЕДМЕТИ «АНТВЕРПЕН 2022»"
	"CSGO_TournamentPass_antwerp2022_store_desc" "Глядацька перепустка, наліпки, автографи та інше"

	"CSGO_TournamentPass_antwerp2022" "Глядацька перепустка «Антверпен 2022»"
	"CSGO_TournamentPass_antwerp2022_Desc" "Це запечатана перепустка глядача великого чемпіонату «PGL Антверпен 2022». Якщо її відкрити, то вона дасть монету «Антверпен 2022», яка відстежує ваш поступ упродовж події, дає доступ до прогнозів на турнір, міток чату Steam.tv, виконання завдань та необмежену кількість командних графіті на час турніру. \n\nВи можете покращити свою монету «Антверпен 2022» через виконання завдань. Ви можете отримати сувенірний набір щоразу, як покращуєте свою монету.\n\n50% коштів, отриманих із продажу цієї перепустки, буде передано організаціям-учасницям."
	"CSGO_TournamentPass_antwerp2022_pack_Desc" "Це запечатана перепустка глядача великого чемпіонату «PGL Антверпен 2022». Якщо її відкрити, то вона дасть монету «Антверпен 2022», яка відстежує ваш поступ упродовж події, дає доступ до прогнозів на турнір, міток чату Steam.tv, виконання завдань та необмежену кількість командних графіті на час турніру. \n\nВи можете покращити свою монету «Антверпен 2022» через виконання завдань. Ця перепустка глядача попередньо активує вашу монету «Антверпен 2022» і 3 сувенірні жетони.\n\n50% коштів, отриманих із продажу цієї перепустки, буде передано організаціям-учасницям."
	"CSGO_TournamentPass_antwerp2022_charge" "Сувенірний жетон «Антверпен 2022»"
	"CSGO_TournamentJournal_antwerp2022" "Монета «Антверпен 2022»"
	"CSGO_TournamentJournal_antwerp2022_Silver" "Срібна монета «Антверпен 2022»"
	"StickerKit_antwerp2022_team_cope_glitter" "Copenhagen Flames (лискуча) | Антверпен 2022"
	"StickerKit_antwerp2022_team_cope_holo" "Copenhagen Flames (гологр.) | Антверпен 2022"
	"StickerKit_antwerp2022_team_cope_gold" "Copenhagen Flames (золота) | Антверпен 2022"
	"StickerKit_antwerp2022_team_big" "BIG | Антверпен 2022"
	"StickerKit_antwerp2022_team_big_glitter" "BIG (лискуча) | Антверпен 2022"
	"CSGO_crate_sticker_pack_antwerp2022_legends_tag" "Наліпки легенд «Антверпен 2022»"
	"CSGO_crate_sticker_pack_antwerp2022_legends"     "Капсула з наліпками легенд «Антверпен 2022»"
	"CSGO_crate_signature_pack_antwerp2022_group_legends_desc" "Ця капсула містить одну дуже рідкісну, голографічну або золоту наліпку з автографом одного з гравців команди-легенди на «Антверпен 2022». \n\n50% коштів, отриманих із продажу цієї капсули, буде передано вказаному гравцеві та організації.\n\nЦя наліпка прикріплюється на будь-яку вашу зброю і її можна пошкрябати, аби вона виглядала більш зношеною. Ви можете шкрябати наліпку кілька разів, щоразу роблячи її більш обшарпаною, аж доки вона не відпаде зі зброї."
	"CSGO_crate_signature_pack_antwerp2022_group_champions_desc" "Ця капсула містить одну дуже рідкісну, голографічну або золоту наліпку з автографом гравця команди-чемпіона на «Антверпен 2022». \n\n50% коштів, отриманих із продажу цієї капсули, буде передано вказаному гравцеві та організації.\n\nЦя наліпка прикріплюється на будь-яку вашу зброю і її можна пошкрябати, аби вона виглядала більш зношеною. Ви можете шкрябати наліпку кілька разів, щоразу роблячи її більш обшарпаною, аж доки вона не відпаде зі зброї."

	"StickerKit_antwerp2022_signature_rain_champion" "rain (чемпіон) | Антверпен 2022"
	//
		// 2022 PGL Antwerp CS:GO Major Championship Strings Block End
		// ======================================

		//
		// Community contributions
		//

		"StickerKit_comm02_pandamonium"			"Пандамоніум"
		"StickerKit_desc_comm02_pandamonium"		"<font color='#F2A93E'>Pandamonium</font>"
		"coupon_pandamonium"					"Наліпка | Пандамоніум"	
		
		"StickerKit_comm02_pieceofcake"			"Простіше нікуди"
		"StickerKit_desc_comm02_pieceofcake"		"<font color='#F2A93E'>Piece Of Cake</font>"
		"coupon_pieceofcake"					"Наліпка | Простіше нікуди"	
		
		"StickerKit_comm02_saschicken"			"Курча SAS"
		"StickerKit_desc_comm02_saschicken"		"<font color='#F2A93E'>SAS Chicken</font>"
		"coupon_saschicken"					"Наліпка | Курча SAS"	
		
		"StickerKit_comm02_thuglife"			"Thug Life"
		"StickerKit_desc_comm02_thuglife"		"<font color='#F2A93E'>Thug Life</font>"
		"coupon_thuglife"					"Наліпка | Thug Life"	
		
		"StickerKit_comm02_trekt"			"T. rekt"
		"StickerKit_desc_comm02_trekt"		"<font color='#F2A93E'>T-Rekt</font>"
		"coupon_trekt"					"Наліпка | T. rekt"	
		
		"StickerKit_comm02_warowl"			"Бойова сова"
		"StickerKit_desc_comm02_warowl"		"<font color='#F2A93E'>Warowl</font>"
		"coupon_warowl"					"Наліпка | Бойова сова"	
		
		"StickerKit_comm02_workforfood"			"Працюватиму за набої"
		"StickerKit_desc_comm02_workforfood"		"<font color='#F2A93E'>Work For Ammo</font>"
		"coupon_workforfood"					"Наліпка | Працюватиму за набої"	
		
		"StickerKit_comm02_phoenix_foil"			"Фенікс (лискуча)"
		"StickerKit_desc_comm02_phoenix_foil"		"<font color='#F2A93E'>Phoenix (Foil)</font>"
